feature,gain,split
PREV_Cash_DAYS_LAST_DUE_1ST_VERSION_MAX,15542.615939617157,543.4
BUREAU_LAST36M_DEBT_CREDIT_DIFF_MEAN,15497.26051940918,583.2
PREV_DAYS_TERMINATION_MAX,15431.765345287324,734.8
BUREAU_LAST12M_DEBT_PERCENTAGE_MEAN,15370.515446090698,499.6
EXT_SOURCES_VAR,15365.366872692108,532.4
BUREAU_LAST12M_DEBT_CREDIT_DIFF_MEAN,15295.617140293121,648.6
BUREAU_LAST24M_AMT_CREDIT_SUM_SUM,15234.065816783905,641.2
CREDIT_TO_INCOME_RATIO,15105.01729297638,685.8
INCOME_TO_EMPLOYED_RATIO,14961.651164627076,706.4
CTAR_DAYS_BIRTH_STD,14863.281491947175,698.4
GROUP1_EXT_SOURCES_STD,14710.005134391784,504.6
CTAR_EXT_SOURCE_1_STD,14350.2531291008,769.4
BUREAU_CLOSED_DAYS_CREDIT_UPDATE_MAX,14220.41834230423,780.8
ID_TO_BIRTH_RATIO,14061.431980037689,688.2
DAYS_REGISTRATION,13927.470128631592,767.8
CAR_TO_EMPLOYED_RATIO,13725.781283855438,502.0
AMT_CREDIT,13725.129378890992,599.8
CTAR_EXT_SOURCES_PROD_MEDIAN,13677.490446567535,585.2
24_TREND_DPD,13667.834315013886,499.2
CTAR_EXT_SOURCES_PROD_STD,13663.654050064088,670.6
OWN_CAR_AGE,13562.140093421936,463.6
CTAR_EXT_SOURCE_1_MEDIAN,13556.90513973236,624.8
CC_LAST_AMT_BALANCE_MAX,13534.229292201995,380.4
PREV_Consumer_AMT_ANNUITY_MAX,13240.832824230194,551.4
APPROVED_APPLICATION_CREDIT_DIFF_MAX,13214.393786621094,409.8
CTAR_BUREAU_ACTIVE_DAYS_CREDIT_MEAN_STD,13181.083902168273,708.6
CTAR_EXT_SOURCE_3_STD,13165.425612449646,660.4
BUREAU_DAYS_CREDIT_MAX,13011.259142684936,544.0
BUREAU_CLOSED_ENDDATE_DIF_MEAN,12877.632175350189,668.8
CTAR_CREDIT_TO_GOODS_RATIO_MEAN,12843.526588630677,373.8
CTAR_EXT_SOURCES_MEAN_STD,12837.296960639953,659.6
PREV_Cash_DAYS_LAST_DUE_1ST_VERSION_MEAN,12831.643943119048,501.6
PREV_Consumer_AMT_CREDIT_SUM,12812.23460597992,595.2
CAR_TO_BIRTH_RATIO,12803.661298847199,530.4
PREV_Cash_CNT_PAYMENT_MEAN,12716.44611606598,416.6
REGION_POPULATION_RELATIVE,12661.566314554215,704.4
CTAR_DAYS_REGISTRATION_STD,12629.761035633088,649.6
BUREAU_ACTIVE_DEBT_OVER_CREDIT,12628.486453247071,521.4
BUREAU_DEBT_CREDIT_DIFF_SUM,12561.079948997498,466.0
CC_LAST_AMT_BALANCE_MEAN,12306.193345451355,350.2
BUREAU_CREDIT_DEBT_PERCENTAGE_MEAN,12302.682551765442,433.4
BUREAU_ACTIVE_CREDIT_TO_INCOME_RATIO,12241.009958171844,572.8
CTAR_INS_DAYS_ENTRY_PAYMENT_MAX_MEDIAN,12221.698133945465,620.4
CTAR_DAYS_EMPLOYED_STD,12108.706063079833,611.0
CTAR_EMPLOYED_TO_BIRTH_RATIO_MEDIAN,12063.265296936035,563.0
BUREAU_CREDIT_DAYS_CREDIT_MAX,11994.268994045258,605.2
PREV_Cash_SIMPLE_INTERESTS_MIN,11941.876995563507,564.6
BUREAU_CONSUMER_DAYS_CREDIT_MAX,11901.786290359498,600.8
CTAR_INS_DAYS_ENTRY_PAYMENT_MAX_STD,11871.821119880677,621.6
60_TREND_DPD,11806.141470336914,441.6
BUREAU_ACTIVE_DAYS_CREDIT_ENDDATE_MAX,11683.184866523743,569.8
CTAR_EXT_SOURCE_2_STD,11681.944770908356,597.6
PREV_Consumer_AMT_ANNUITY_MEAN,11658.692587947846,571.2
PREV_ACTIVE_REMAINING_DEBT_SUM,11592.231111907959,500.6
BUREAU_CREDIT_DAYS_CREDIT_MEAN,11527.44585056305,589.6
PAYMENT_MAX_TO_ANNUITY_RATIO,11512.255180931092,428.4
CTAR_DAYS_BIRTH_MEDIAN,11475.592931556701,458.0
PREV_LAST24M_DAYS_LAST_DUE_1ST_VERSION_MIN,11437.229071331025,501.2
BUREAU_ACTIVE_DAYS_CREDIT_ENDDATE_MIN,11418.113999271392,627.2
120_TREND_DPD,11263.283194446563,456.4
PREV_APPLICATION_CREDIT_DIFF_MAX,11256.585093307494,371.8
BUREAU_CONSUMER_AMT_CREDIT_SUM_MEAN,11211.977835559845,546.6
CTAR_APPROVED_CNT_PAYMENT_MEAN_MEAN,11201.052784347534,572.8
PREV_CNT_PAYMENT_MEAN,11168.137697410584,412.2
BUREAU_CLOSED_DAYS_CREDIT_MAX,11162.463165950776,580.2
BUREAU_DAYS_CREDIT_ENDDATE_MAX,11132.113708019257,572.6
BUREAU_CONSUMER_AMT_CREDIT_SUM_DEBT_MEAN,11109.958223533631,441.6
BUREAU_CLOSED_DAYS_CREDIT_VAR,11090.31682548523,560.2
INS_36M_DPD_MEAN,11055.335993766785,346.8
CTAR_DAYS_EMPLOYED_MEDIAN,11051.566044616698,512.2
BUREAU_LAST12M_AMT_CREDIT_SUM_SUM,11035.609825515747,461.2
INS_LATE_PAYMENT_SUM,10981.18687567711,420.8
CTAR_EMPLOYED_TO_BIRTH_RATIO_STD,10966.377812099458,575.4
PREV_LAST24M_APPLICATION_CREDIT_RATIO_MIN,10927.638915634156,392.8
BUREAU_CLOSED_DAYS_CREDIT_ENDDATE_MAX,10884.925171852112,571.8
CTAR_DAYS_EMPLOYED_MEAN,10859.2111120224,443.6
NAME_FAMILY_STATUS,10797.263590240478,431.8
INS_DAYS_ENTRY_PAYMENT_MIN,10746.447322559357,413.0
CTAR_EMPLOYED_TO_BIRTH_RATIO_MEAN,10718.568672084808,472.4
CURRENT_TO_APPROVED_CREDIT_MIN_RATIO,10694.49045381546,526.0
POS_MONTHS_BALANCE_SIZE,10574.315299892425,445.0
INS_18M_DPD_7_MEAN,10538.566982555389,288.2
CTAR_BUREAU_ACTIVE_DAYS_CREDIT_MEAN_MEDIAN,10496.887591362,546.6
CTAR_INS_DAYS_ENTRY_PAYMENT_MAX_MEAN,10481.241329097747,536.6
BUREAU_CREDIT_AMT_CREDIT_SUM_DEBT_MAX,10460.653393936158,497.4
APPROVED_AMT_DOWN_PAYMENT_MAX,10406.90552968979,397.0
GROUP2_INCOME_STD,10219.013069343568,345.4
DAYS_CREDIT_MEAN_TO_EMPLOYED,10210.558104991913,542.2
CTAR_BUREAU_ACTIVE_DAYS_CREDIT_MEAN_MEAN,10159.443291282654,530.8
INS_18M_DPD_MEAN,10142.40455493927,320.8
DAYS_CREDIT_MEAN_TO_BIRTH,10104.839267349244,491.4
INCOME_TO_BIRTH_RATIO,10102.111727046966,544.2
12_TREND_DPD,9857.138274955749,426.0
INS_18M_AMT_PAYMENT_MIN,9818.773225116729,399.6
INS_18M_DBD_VAR,9807.220032596588,520.4
BUREAU_LAST12M_AMT_CREDIT_SUM_MAX,9778.828160190582,438.6
BUREAU_CLOSED_AMT_CREDIT_SUM_SUM,9776.818703079223,478.2
AMT_GOODS_PRICE,9761.89427280426,472.6
PAYMENT_MIN_TO_ANNUITY_RATIO,9730.525914764405,449.2
BUREAU_LAST24M_DEBT_CREDIT_DIFF_MEAN,9696.777364063262,444.6
GROUP1_EXT_SOURCES_MEDIAN,9646.95215959549,474.0
CTAR_DAYS_REGISTRATION_MEDIAN,9644.435384654998,474.6
BUREAU_CLOSED_AMT_CREDIT_SUM_MEAN,9609.941137361526,518.4
INS_36M_AMT_PAYMENT_MIN,9592.836177158355,445.4
INS_AMT_PAYMENT_SUM,9561.618383216857,342.8
BUREAU_CONSUMER_AMT_CREDIT_SUM_MAX,9539.729244613647,456.8
CURRENT_TO_APPROVED_CREDIT_MAX_RATIO,9464.248692703248,392.6
PREV_Consumer_APPLICATION_CREDIT_RATIO_MEAN,9445.521463775634,436.8
PREV_APPLICATION_CREDIT_RATIO_VAR,9305.53790693283,497.8
PREV_HOUR_APPR_PROCESS_START_MEAN,9292.269819545745,475.4
BUREAU_DAYS_CREDIT_MEAN,9236.096547603607,429.0
PREV_APPLICATION_CREDIT_RATIO_MEAN,9168.921934318543,401.4
PREV_ACTIVE_REMAINING_DEBT_MAX,9164.021017360687,400.2
CURRENT_TO_APPROVED_CREDIT_MEAN_RATIO,9138.331235027314,410.2
GROUP2_CREDIT_TO_ANNUITY_STD,9137.931900024414,341.4
DAYS_DECISION_MEAN_TO_EMPLOYED,9131.324506568908,475.0
BUREAU_ACTIVE_AMT_CREDIT_SUM_SUM,9066.97955942154,416.8
BUREAU_ACTIVE_DAYS_CREDIT_UPDATE_MEAN,9031.264171600342,488.4
INS_18M_DAYS_ENTRY_PAYMENT_MEAN,9022.67514820099,445.4
BUREAU_CONSUMER_DEBT_CREDIT_DIFF_MEAN,9007.930257892609,467.4
BUREAU_LAST36M_AMT_CREDIT_SUM_SUM,8950.368351173402,448.2
INS_36M_DAYS_ENTRY_PAYMENT_MEAN,8916.834699821473,429.0
GROUP2_EXT_SOURCES_STD,8890.120240592956,305.6
PREV_LAST24M_APPLICATION_CREDIT_RATIO_MEAN,8878.259347438812,430.0
INS_DBD_VAR,8762.71347131729,476.2
PREV_Consumer_DAYS_LAST_DUE_1ST_VERSION_MEAN,8731.269174575806,430.2
BUREAU_ACTIVE_DAYS_CREDIT_MEAN,8728.399882698059,447.6
